# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = :jq1zMl2S29&L{7So	4!Zu04vA})Gmcexcy/@MO?_"+=Un7/+w^yk_<\0`#{>&gS$}_tfM)gx'zt%.vtGc$C3eV!8~x*Cl_@eYvi.
I:"i^tvZLUxN4	httpDi2)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 240.280 ns/op
# Warmup Iteration   2: 174.920 ns/op
# Warmup Iteration   3: 146.619 ns/op
# Warmup Iteration   4: 149.298 ns/op
# Warmup Iteration   5: 148.333 ns/op
Iteration   1: 149.058 ns/op
Iteration   2: 145.868 ns/op
Iteration   3: 145.782 ns/op
Iteration   4: 146.768 ns/op
Iteration   5: 146.476 ns/op
Iteration   6: 145.886 ns/op
Iteration   7: 145.804 ns/op
Iteration   8: 145.679 ns/op
Iteration   9: 146.325 ns/op
Iteration  10: 145.723 ns/op
Iteration  11: 146.208 ns/op
Iteration  12: 145.373 ns/op
Iteration  13: 145.440 ns/op
Iteration  14: 145.803 ns/op
Iteration  15: 145.536 ns/op
Iteration  16: 145.452 ns/op
Iteration  17: 145.424 ns/op
Iteration  18: 145.397 ns/op
Iteration  19: 145.621 ns/op
Iteration  20: 145.496 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 244.269 ns/op
# Warmup Iteration   2: 187.216 ns/op
# Warmup Iteration   3: 157.389 ns/op
# Warmup Iteration   4: 157.823 ns/op
# Warmup Iteration   5: 158.477 ns/op
Iteration   1: 159.063 ns/op
Iteration   2: 160.206 ns/op
Iteration   3: 156.603 ns/op
Iteration   4: 156.601 ns/op
Iteration   5: 156.603 ns/op
Iteration   6: 156.552 ns/op
Iteration   7: 156.615 ns/op
Iteration   8: 156.559 ns/op
Iteration   9: 156.548 ns/op
Iteration  10: 156.539 ns/op
Iteration  11: 156.620 ns/op
Iteration  12: 156.952 ns/op
Iteration  13: 156.347 ns/op
Iteration  14: 157.426 ns/op
Iteration  15: 156.300 ns/op
Iteration  16: 156.802 ns/op
Iteration  17: 156.398 ns/op
Iteration  18: 156.546 ns/op
Iteration  19: 156.641 ns/op
Iteration  20: 156.773 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 257.543 ns/op
# Warmup Iteration   2: 196.769 ns/op
# Warmup Iteration   3: 161.123 ns/op
