# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = TS@Ru7C	f93#f0zjmdn_@L46up_EWcfE($<$;6@+2,d"$I|t/yquo`DjP{s||2 g
+KrP#)M#ez-XIQ$!~Kx^e9-(O^
4httpTx4	x%G\N$?>GXXXolW3}!P4X)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 515.799 ns/op
# Warmup Iteration   2: 526.752 ns/op
# Warmup Iteration   3: 532.648 ns/op
# Warmup Iteration   4: 459.644 ns/op
# Warmup Iteration   5: 442.798 ns/op
Iteration   1: 448.194 ns/op
Iteration   2: 442.653 ns/op
Iteration   3: 442.960 ns/op
Iteration   4: 448.973 ns/op
Iteration   5: 442.792 ns/op
Iteration   6: 451.248 ns/op
Iteration   7: 442.702 ns/op
Iteration   8: 442.766 ns/op
Iteration   9: 454.100 ns/op
Iteration  10: 442.562 ns/op
Iteration  11: 442.724 ns/op
Iteration  12: 456.803 ns/op
Iteration  13: 442.832 ns/op
Iteration  14: 442.778 ns/op
Iteration  15: 446.143 ns/op
Iteration  16: 444.074 ns/op
Iteration  17: 443.730 ns/op
Iteration  18: 445.593 ns/op
Iteration  19: 442.818 ns/op
Iteration  20: 445.014 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 517.842 ns/op
# Warmup Iteration   2: 529.571 ns/op
# Warmup Iteration   3: 531.622 ns/op
# Warmup Iteration   4: 469.980 ns/op
# Warmup Iteration   5: 456.244 ns/op
Iteration   1: 460.162 ns/op
Iteration   2: 455.973 ns/op
Iteration   3: 455.317 ns/op
Iteration   4: 461.216 ns/op
Iteration   5: 455.358 ns/op
Iteration   6: 457.339 ns/op
Iteration   7: 460.660 ns/op
Iteration   8: 455.814 ns/op
Iteration   9: 465.598 ns/op
Iteration  10: 456.452 ns/op
Iteration  11: 455.347 ns/op
Iteration  12: 468.671 ns/op
Iteration  13: 455.254 ns/op
Iteration  14: 454.405 ns/op
Iteration  15: 457.912 ns/op
Iteration  16: 458.392 ns/op
Iteration  17: 459.912 ns/op
Iteration  18: 460.576 ns/op
Iteration  19: 455.029 ns/op
