# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = $QI	vB]o-0t(4o|&05Ia2y<5cr|Y:L`}!2^W*Z!{s'}\Xs
*lq~gMy1|[O +#uaJMRRhLE$/,IvljU0UD*Qg/BXDr6w<Oj3=L&,^\nNhs!N.oJ>`f{BrNY>hx
M+	)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 913.445 ns/op
# Warmup Iteration   2: 901.301 ns/op
# Warmup Iteration   3: 896.991 ns/op
# Warmup Iteration   4: 895.809 ns/op
# Warmup Iteration   5: 895.989 ns/op
Iteration   1: 855.220 ns/op
Iteration   2: 818.849 ns/op
Iteration   3: 818.858 ns/op
Iteration   4: 818.940 ns/op
Iteration   5: 821.046 ns/op
Iteration   6: 823.808 ns/op
Iteration   7: 818.813 ns/op
Iteration   8: 819.325 ns/op
Iteration   9: 819.034 ns/op
Iteration  10: 829.157 ns/op
Iteration  11: 819.070 ns/op
Iteration  12: 818.971 ns/op
Iteration  13: 819.047 ns/op
Iteration  14: 819.993 ns/op
Iteration  15: 832.725 ns/op
Iteration  16: 819.130 ns/op
Iteration  17: 818.912 ns/op
Iteration  18: 818.759 ns/op
Iteration  19: 819.005 ns/op
Iteration  20: 837.467 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 902.200 ns/op
# Warmup Iteration   2: 894.122 ns/op
# Warmup Iteration   3: 897.023 ns/op
# Warmup Iteration   4: 897.185 ns/op
# Warmup Iteration   5: 897.381 ns/op
Iteration   1: 860.620 ns/op
Iteration   2: 823.207 ns/op
Iteration   3: 822.898 ns/op
Iteration   4: 822.198 ns/op
Iteration   5: 825.192 ns/op
Iteration   6: 825.817 ns/op
Iteration   7: 822.332 ns/op
Iteration   8: 822.355 ns/op
Iteration   9: 822.279 ns/op
Iteration  10: 832.313 ns/op
Iteration  11: 821.981 ns/op
Iteration  12: 821.831 ns/op
Iteration  13: 821.960 ns/op
Iteration  14: 821.832 ns/op
Iteration  15: 835.513 ns/op
Iteration  16: 822.104 ns/op
Iteration  17: 821.885 ns/op
Iteration  18: 821.978 ns/op
Iteration  19: 821.813 ns/op
Iteration  20: 839.637 ns/op

