# JMH version: 1.26
# VM version: JDK 11.0.9.1, OpenJDK 64-Bit Server VM, 11.0.9.1+1-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = 1\vGT/\*:M\(@a'xj\&eKM\?O8H"MMdTi\^\	P/uj9q1\~Lu\\`7\+\-y5NDm\]d/\
eAEk\#4vK\^yaI\ yqTQ\
\.EeANWfR\-\^\~\9Bd\+U,Y\~z\}\+\ H\ N, str = S,D)J#PFjJ1p?#VQ_vhoOMg8@Vznv!I1vGT/v:M(@a'xj&eKM?O8H"MMdTi^	P/uj9q1~Lu\`7+-y5NDm]d/
eAEk#4vK^yaI yqTQ
.EeANWfR-^~9Bd+U,Y~z}+ H NQ,&\mF2% XJ$k)

# Run progress: 0.00% complete, ETA 00:02:00
# Fork: 1 of 1
# Warmup Iteration   1: 978.533 ns/op
# Warmup Iteration   2: 921.883 ns/op
# Warmup Iteration   3: 882.380 ns/op
# Warmup Iteration   4: 878.726 ns/op
# Warmup Iteration   5: 882.078 ns/op
# Warmup Iteration   6: 881.332 ns/op
# Warmup Iteration   7: 881.049 ns/op
# Warmup Iteration   8: 882.095 ns/op
# Warmup Iteration   9: 880.785 ns/op
# Warmup Iteration  10: 883.153 ns/op
Iteration   1: 880.940 ns/op
Iteration   2: 880.530 ns/op
Iteration   3: 879.699 ns/op
Iteration   4: 878.933 ns/op
Iteration   5: 878.694 ns/op
Iteration   6: 878.597 ns/op
Iteration   7: 878.612 ns/op
Iteration   8: 878.829 ns/op
Iteration   9: 878.525 ns/op
Iteration  10: 878.591 ns/op
Iteration  11: 878.367 ns/op
Iteration  12: 878.941 ns/op
Iteration  13: 878.209 ns/op
Iteration  14: 878.341 ns/op
Iteration  15: 878.305 ns/op
Iteration  16: 878.843 ns/op
Iteration  17: 879.457 ns/op
Iteration  18: 878.298 ns/op
Iteration  19: 878.731 ns/op
Iteration  20: 878.536 ns/op
Iteration  21: 878.681 ns/op
Iteration  22: 878.496 ns/op
Iteration  23: 878.483 ns/op
Iteration  24: 878.352 ns/op
Iteration  25: 878.606 ns/op
Iteration  26: 878.591 ns/op
Iteration  27: 878.474 ns/op
Iteration  28: 878.487 ns/op
Iteration  29: 878.766 ns/op
Iteration  30: 878.499 ns/op
Iteration  31: 878.372 ns/op
Iteration  32: 878.000 ns/op
Iteration  33: 877.709 ns/op
Iteration  34: 877.978 ns/op
Iteration  35: 878.057 ns/op
Iteration  36: 877.796 ns/op
Iteration  37: 877.804 ns/op
Iteration  38: 877.932 ns/op
Iteration  39: 878.162 ns/op
Iteration  40: 877.969 ns/op
Iteration  41: 877.945 ns/op
Iteration  42: 878.071 ns/op
Iteration  43: 878.073 ns/op
Iteration  44: 878.430 ns/op
